N-gram,Frequency
"('completed', 'successfully')",1996
"('failed', 'due')",1577
"('job', 'got')",1381
"('job', 'completed')",1163
"('got', 'failed')",1031
"('issue', 'fixed')",903
"('fixed', 'job')",878
"('issue', 'issue')",680
"('issue', 'job')",677
"('source', 'file')",585
"('job', 're-started')",566
"('job', 'restarted')",554
"('job', 're-run')",500
"('job', 'abended')",486
"('job', 'failed')",429
"('running', 'query')",419
"('abended', 'due')",411
"('restarted', 'completed')",404
"('query', 'manually')",395
"('file', 'available')",395
"('completed', 'running')",385
"('re-run', 'job')",369
"('job', 'killed')",362
"('killed', 'completed')",322
"('due', 'duplicate')",318
"('connectivity', 'issue')",300
"('duplicate', 'issue')",267
"('job', 'executed')",240
"('executed', 'successfully')",236
"('back', 'end')",226
"('brj', 'issue')",213
"('file', 'unavailability')",212
"('self-lock', 'occurred')",207
"('occurred', 'job')",207
"('due', 'connectivity')",200
"('due', 'file')",199
"('job', 'rerun')",182
"('completed', 're-run')",181
"('got', 'completed')",179
"('successfully', 're-run')",178
"('re-executed', 'job')",177
"('due', 'brj')",175
"('successfully', 'back')",170
"('available', 'job')",167
"('file', 'issue')",166
"('data', 'issue')",164
"('re-run', 'successfully')",164
"('self-lock', 'occured')",162
"('occured', 'job')",162
"('issue', 'resolved')",148
"('due', 'data')",144
"('pipe', 'error')",136
"('rerun', 'job')",133
"('self', 'lock')",130
"('td', 'upgrade')",128
"('due', 'database')",127
"('job', 're-executed')",126
"('re-executed', 'completed')",124
"('tbload', 'issue')",121
"('data', 'fix')",121
"('job', 'started')",119
"('got', 'abended')",111
"('re-started', 'completed')",109
"('due', 'tdata')",109
"('source', 'team')",108
"('re-run', 'completed')",106
"('day', ""'s"")",100
"('job', 'reprocessed')",100
"('re-running', 'job')",98
"('unavailability', 'job')",92
"('time', 'issue')",91
"('wrongly', 'triggered')",91
"('re-run', 'issue')",91
"('due', 'log')",90
"('log', 'time')",89
"('job', 'cancelled')",89
"('completed', 'file')",89
"('connection', 'time')",84
"('released', 'job')",83
"(""'s"", 'batch')",82
"('duplicate', 'data')",81
"('login', 'time')",81
"('database', 'connection')",81
"('source', 'issue')",81
"('cancelled', 'day')",80
"('td', 'team')",79
"('re-run', 'file')",79
"('due', 'source')",78
"('ran', 'successfully')",76
"('time', 'error.we')",74
"('error.we', 're-executed')",74
"('error', 'due')",73
"('tbload', 'released')",71
"('invalid', 'records')",70
"('error', 'tbload')",69
"('unavailability', 'issue')",68
"('abended', 'pipe')",67
"('issue', 'rerun')",67
"('lock', 'issue')",67
"('time', 'job')",66
"('due', 'tbload')",66
"('named-pipe', 'error')",66
"('job', 'ran')",65
"('success', 'rerun')",65
"('records', 'job')",64
"('due', 'tods')",63
"('.we', 're-executed')",62
"('abended', 'source')",61
"('issue', 'td')",61
"('script', 'executed')",60
"('closed', 'job')",60
"('count', 'mismatch')",58
"('batch', 'closed')",58
"('job', 'deleteing')",57
"('deleteing', 'invalid')",57
"('rerun', 'successful')",56
"('previous', 'day')",56
"('lock', 'script')",55
"('re-run', 'closed')",55
"('closed', 'completed')",55
"('queue', 'file')",55
"('upgrade', 'happened')",54
"('due', 'login')",54
"('due', 'lock')",54
"('brj', 'environment')",54
"('environment', 'issue')",53
"('tdata', 'connectivity')",52
"('rerun', 'completed')",51
"('process', 'state')",51
"('issue', 'completed')",51
"('duplicate', 'records')",50
"('running', 'script')",50
"('records', '.we')",49
"('due', 'null')",49
"('fix', 'later')",48
"('job', 'running')",48
"('tdata', 'outage')",48
"('issue', 're-run')",48
"('rerun', 'data')",48
"('name', 'pipe')",47
"('due', 'count')",47
"('due', 'name')",46
"('job', 'successfully')",45
"('source', 'files')",44
"('re-run', 'brj')",44
"('brj', 'completed')",44
"('job', 'successful')",44
"('scheduler', 'issue')",44
"('source', 'path')",43
"('issues', 'td')",43
"('happened', 'weekend')",43
"('weekend', 'later')",43
"('later', 'fixed')",43
"('fixed', 'td')",43
"('team', 'jobs')",43
"('jobs', 'processed')",43
"('processed', 'completed')",43
"('login', 'timeout')",43
"('run', 'job')",43
"('file', 'placed')",42
"('jobs', 're-run')",42
"('issue', 're-running')",42
"('lock', 'occurred')",42
"('outage', 'job')",42
"('jobs', 'failed')",42
"('tods', 'server')",42
"('error', 'job')",41
"('hence', 'job')",41
"('completed', 'job')",41
"('mismatch', 'issue')",41
"('successfully', 'rerun')",39
"('completed', 'receiving')",39
"('receiving', 'file')",39
"('updated', 'file')",39
"('dev', 'team')",39
"('tods', 'issue')",38
"('requested', 'source')",37
"('upgrade', 'fix')",37
"('later', 'provided')",37
"('data', 'duplicate')",37
"('due', 'process')",37
"('state', 'failure')",37
"('failure', 'issue')",37
"('team', 'place')",36
"('source', 'database')",36
"('null', 'value')",36
"('data', 'format')",36
"('successfully', 're-executing')",36
"('re-executing', 'job')",36
"('issue', 'source')",36
"('server', 'issue')",36
"('job', 'triggering')",36
"('triggering', 'brj')",36
"('database', 'login')",35
"('job', 'run')",35
"('restarted', 'job')",34
"('started', 'file')",34
"('executed', 'job')",34
"('manually', 'executed')",34
"('value', 'issue')",33
"('placed', 'path')",33
"('kept', 'hold')",32
"('format', 'issue')",32
"('receiving', 'updated')",32
"('successful', 're-run')",32
"('timeout', 'issue')",32
"(""'s"", 'run')",32
"('crm', 'source')",32
