N-gram,Frequency
"('successfully', 'receiving')",31
"('due', 'td')",31
"('successful', 'rerun')",31
"('team', 'job')",30
"('occurred', 'completed')",30
"('successful', 'data')",30
"('console', 'failed')",30
"('spool', 'space')",29
"('job', 'back')",29
"('due', 'crm')",28
"('reprocessed', 'data')",28
"('file', 'source')",27
"('job', 'marked')",27
"('releasing', 'tbload')",27
"('file', 'job')",27
"('database', 'issue')",26
"('completed', 'rerun')",26
"('liaising', 'dev')",26
"('brj', 'manually')",26
"('self-lock', 'job')",25
"('re-executed', 'compelted')",25
"('compelted', 'sucecssfully')",25
"('batch', 'cancelled')",25
"('stream', 'instance')",25
"('server', 'restarted')",24
"('re-started', 'outage')",24
"('outage', 'compelted')",24
"('batch', 'day')",24
"('abended', 'stream')",24
"('triggered', 'backend')",24
"('job', ""n't"")",24
"('run', 'along')",24
"('file', 'stuck')",24
"('row', 'count')",23
"('files', 'available')",23
"('re-run', 'successful')",23
"('got', 'executed')",23
"('tbload', 'release')",23
"('hence', 'jobs')",23
"('failed', 'jobs')",23
"('backend', 'console')",23
"('space', 'issue')",22
"('data', 'issues')",22
"('i.e', 'duplicates/null')",22
"('extraction', 'issue')",22
"('cancelled', 'batch')",22
"('hold', 'due')",22
"('issue', 'liasing')",22
"(""n't"", 'get')",22
"('get', 'triggered')",22
"('due', 'queue')",22
"('available', 'source')",21
"('completed', 'manually')",21
"('manually', 'running')",21
"('abended', 'oraacle')",21
"('oraacle', 'source')",21
"('database', 'job')",21
"('restarted', 'oracle')",21
"('oracle', 'server')",21
"('got', 'trigerred')",21
"('time', 'error')",21
"('due', 'named')",21
"('tods', 'console')",21
"('issue', 'jobs')",21
"('jobs', ""n't"")",21
"(""n't"", 'trigger')",21
"('trigger', 'brj')",21
"('brj', 'failed')",21
"('brj', 'issue.we')",21
"('issue.we', 're-executed')",21
"('issue.on', 're-run')",21
"('place', 'file')",20
"('file', 'restarted')",20
"('provided', 'td')",20
"('marked', 'completed')",20
"('job', 'aborted')",20
"('issues', 'i.e')",20
"('duplicates/null', 'values/invalid')",20
"('values/invalid', 'data')",20
"('run', 'successfull')",20
"('due', 'log-in')",20
"('log-in', 'time')",20
"('time', 're-executed')",20
"('marked', 'success')",20
"('file', 'received')",20
"('console', 're-running')",20
"('today', ""'s"")",20
"('issue', 'fixe')",20
"('fixe', 'job')",20
"('path', 'requested')",19
"('named', 'pipe')",19
"('td', 'box')",19
"('issues', 'jobs')",19
"('rerun', 'success')",19
"('due', 'server')",19
"('brj', 'hence')",19
"('jobs', 'completed')",19
"('schedule', 'cancelled')",19
"('manually', 'job')",18
"('long', 'time')",18
"('triggered', 'wrongly')",18
"('successfully', 're-running')",18
"('batch', 'issues')",18
"('started', 'outage')",18
"('job', 'success')",18
"('due', 'invalid')",18
"('completed', 'tods')",18
"('failed', 'brj')",18
"('along', 'today')",18
"('unavailability', 'schedule')",18
"('due', 'row')",17
"('provided', 'dba')",17
"('dba', 'jobs')",17
"('jobs', 'rerun')",17
"('load', 'td')",17
"('job', 'load')",17
"('manually', 'run')",17
"('failure', 'job')",17
"('connection', 'issue')",17
"('files', 'received')",17
"('reraun', 'successful')",17
"('liaising', 'source')",17
"('successfully', 'file')",17
"('mismatch', 'source')",16
"('file', 'ods')",16
"('ods', 'table')",16
"('table', 'requested')",16
"('place', 'source')",16
"('files', 'job')",16
"('completed', 'placing')",16
"('placing', 'source')",16
"('killed', 'manually')",16
"('next', 'day')",16
"('successfully', 'running')",16
"('file', 'avaialble')",16
"('login', 'timed')",16
"('error', 'issue')",16
"('resolved', 'job')",16
"('still', 'active')",16
"('liasing', 'source')",16
"('jobs', 'kept')",16
"('failed', 'files')",16
"('reexecuted', 'job')",15
"('collect', 'stats')",15
"('issue', 'manually')",15
"('confirmed', 'backend')",15
"('trigerred', 'wrongly')",15
"('wrongly', 'hence')",15
"('aborted', 'cancelled')",15
"('completed', 'succesfully')",15
"('connecitivity', 'issue')",15
"('job', 're-ran')",15
"('named', 'piped')",15
"('piped', 'error')",15
"('completed', 'issue')",15
"('file', 'corrected')",15
"('tdata', 'tbload')",15
"('successfully', 'tbload')",15
"('received', 'manually')",15
"('manual', 'run')",15
"('source', 'unavailability')",14
"('issues', 'issue')",14
"('timed', 'error')",14
"('error', 're-run')",14
"('released', 'tbload')",14
"('closing', 'incident')",14
"('warranty', 'support')",14
"('source', 'connecitivity')",14
"('received', 'cancelled')",14
"('source', 'connectivity')",14
"('failed', 'manaully')",14
"('manaully', 'clear')",14
"('clear', 'queue')",14
"('lock', 'released')",13
"('issue', 'load')",13
"('box', 'reexecuted')",13
"('load', 'reduced')",13
"('reduced', 'job')",13
"('schedule', 'triggered')",13
"('wrongly', 'job')",13
"('duplicate', '.we')",13
"('due', 'tbload.it')",13
"('tbload.it', 'completed')",13
"('error', 'completed')",13
"('successfully', 'issue')",13
"('succesfully', 're-run')",13
"('job', 'deleting')",13
"('deleting', 'invalid')",13
"('issue', 'due')",13
"('upgrade', 'successful')",13
"('error', 'bee')",13
"('bee', 're-executed')",13
"('triggered', 'brj')",13
"('table', 'locked')",13
"('instance', 'still')",13
"('upgrade', 'job')",13
"('rerun', 'fix')",13
"('fix', 'td')",13
"('team', 'completed')",13
"('issue', 'liaising')",13
"('brj', 'issue.on')",13
"('source', 'bw')",13
"('successful', 'manual')",13
"('error', 'lock')",12
"('running', 'long')",12
"('completed', 'successfulll')",12
"('successfulll', 'releasing')",12
"('null', 'values')",12
"('hence', 'deadline')",12
"('space', 'db')",12
"('db', 'completed')",12
"('wnash', 'access')",12
"('access', 'issue')",12
"('killed', 'job')",12
"('confirmed', 'job')",12
"('overrunning', 'hence')",12
"('session', 'issue')",12
"('tods', 'scheduler')",12
"('scheduler', 'connectivity')",12
"('ems', 'team')",12
"('ftp', 'issue')",12
"('manually', 'transfer')",12
"('transfer', 'files')",12
"('queue', 'run')",12
"('re-started', 'issue')",11
"('due', 'hadoop')",11
"('hadoop', 'database')",11
"('happened', 'fix')",11
"('later', 'provide')",11
"('provide', 'dba')",11
"('dba', 'job')",11
"('batch', 'entry')",11
"('entry', 'updated')",11
"('updated', 'entry')",11
"('entry', 'r')",11
"('r', 'status')",11
"('status', 'f')",11
"('f', 'job')",11
"('batch', 'completed')",11
"('upgrade', 'issue.it')",11
"('issue.it', 'completed')",11
"('completed', 'successful')",11
"('invalid', 'data')",11
"('failed', 'update')",11
"('lock', 'completed')",11
"('file', 'unavailability.this')",11
"('unavailability.this', 'resolved')",11
"('resolved', 'file')",11
"('file', 'recieved')",11
"('recieved', 're-execution')",11
"('count', 'validation')",11
"('job', 'manually')",11
"('stream', 'closed')",11
"('due', 'duplicates')",11
"('re-ran', 'completed')",11
"('duplicates', 'source')",11
"('failed', 'updating')",11
"('instance', 'active')",11
"('rerun', 'issue')",11
"('issue', 'solved')",11
"('manually', 'updated')",11
"('files', 'successfully')",11
"('job', 'confirmed')",10
"('got', 'falied')",10
"('falied', 'due')",10
"('td', 'outage')",10
"('update', 'status')",10
"('status', 'query.we')",10
"('query.we', 'manually')",10
"('manually', 'changed')",10
"('changed', 'status')",10
"('status', 'job')",10
"('time-out', 'error')",10
"('locked', 'released')",10
"('file', 'completed')",10
"('completed', 'succcessfully')",10
"('self-lock', 'issue')",10
"('tbload', 'job')",10
"('got', 'hanged')",10
"('manually', 'closed')",10
"('restarted', 'time')",10
"('due', 'spool')",10
"('lock', 'occured')",10
"('failed', 'source')",10
"('previous', 'jobs')",10
"('issue', 'successful')",10
"('brj', '.this')",10
"('.this', 'due')",10
"('issue', 'bw')",10
"('script', 'manually')",10
"('due', 'connection')",10
"('brj', 'issue.didnt')",10
"('issue.didnt', 'ran')",10
"('ran', 'console')",10
"('failed', 'brj.re-executed')",10
"('brj.re-executed', 'job')",10
"('updating', 'audit')",10
"('bw', 'issue')",10
"('server', 'restart')",10
"('failed', 'manually')",10
"('queue', 'ans')",10
"('ans', 'run')",10
"('deadline', 'alert')",9
"('successful', 're-')",9
"('re-', 'run')",9
"('tdata', 'connecitivity')",9
"('connecitivity', 'issuee')",9
"('issuee', 'job')",9
"('contacted', 'source')",9
"('records', 'completed')",9
"('job', 'fixed')",9
"('corrected', 'file')",9
"('error', 're-running')",9
"('file', 'arrived')",9
"('active', 'stream')",9
"('closed', 'manually')",9
"('running', 'manually')",9
"('invalid', 'date')",9
"('manually', 'killed')",9
"('active', 'manually')",9
"('executed', 'backend')",9
"('job', 'disabled')",9
"('disabled', 'wrongly')",9
"('job', 'compelted')",9
"('compelted', 're-run')",9
"('time', 'completed')",9
"('audit', 'entry')",9
"('entry', 'manually')",9
"('rerun', 'successfull')",9
"('job', 'wrongly')",9
"('completed', 'batch')",9
"('batch', 'running')",9
"('file', 'unavailaibilty')",9
"('unavailaibilty', 'liaising')",9
"('data', 'base')",9
"('due', 'tns')",9
"('tns', 'listener')",9
"('listener', 'failure')",9
"('restarted', 'issue')",9
"('fixed', 'completed')",9
"('restart', 'job')",9
"('received', 'deadline')",8
"('file', 'unavailable')",8
"('unavailable', 'job')",8
"(""'s"", 'load')",8
"('started', 'completed')",8
"('values', 'null')",8
"('null', 'field.we')",8
"('field.we', 're-executed')",8
"('successfully', 'run')",8
"('target', 'count')",8
"('issue', 'removed')",8
"('running', 'longer')",8
"('longer', 'time')",8
"('killed', 'cancelled')",8
"('source', 'job')",8
"('issue', 're-executed')",8
"('hence', 'closing')",8
"('deadline', 'reached')",8
"('manually', 'completed')",8
"('error', 'released')",8
"('run', 'data')",8
"('bw', 'rerun')",8
"('liasing', 'dev')",8
"('tods', 'session')",8
"('server', 'session')",8
"('failed', 'brj.this')",8
"('brj.this', 'due')",8
"('updated', 'using')",8
"('using', 'tdata')",8
"('successfull', 'datafix')",8
"('brj', 'connectivity')",8
"('due', 'issue')",8
"('job', 'put')",8
"('put', 'hold')",8
"('open', 'hub')",8
"('file', 'count')",8
"('manually', 'cleared')",8
"('cleared', 'queue')",8
"('process', 'job')",8
"('hence', 'received')",7
"('due', 'duplicate/null/invalid')",7
"('duplicate/null/invalid', 'data')",7
"('due', 'incorrect')",7
"('available', 'contacted')",7
"('issue', 'tbload')",7
"('removed', 'job')",7
"('issues', 'job')",7
"('issue', 'i.e')",7
"('restarted', 'got')",7
"('time-out', 'issue')",7
"('successfully', 'releasing')",7
"('job', 'reexecuted')",7
"('placed', 'source')",7
"('duplicates', 'removed')",7
"('source', 'connection')",7
"('outage', 'issue')",7
"('job', 'triggered')",7
"('success', 're-run')",7
"('job', 'held')",7
"('source', 'extraction')",7
"('source', 'side')",7
"('executed', 'script')",7
"('team', 'corrected')",7
"('issue', 'got')",7
"('got', 'successful')",7
"('jobs', 'overrunning')",7
"('link', 'failure')",7
"('huge', 'volume')",7
"('active', 'process')",7
"('schedule', 'request')",7
"('job', '1')",7
"('1', 'hr')",7
"('hr', 'completed')",7
"('rerun', 'restart')",7
"('restart', 'server')",7
"('brj', 'job')",7
"('bw', 'end')",7
"('end', 're-running')",7
"('base', 'login')",7
"('job', 'progressing')",7
"('progressing', 'back')",7
"('available', 'hence')",7
"('hence', 'confirmed')",7
"('successfully', 'fix')",7
"('fix', 'done')",7
"('done', 'hadoop')",7
"('hadoop', 'team')",7
"('job', 're-processed')",7
"('file', 'delay.success')",7
"('delay.success', 'rerun')",7
"('action', 'required')",7
"('lock', 'held')",7
"('held', 'process')",7
"('killed', 'process')",7
"('process', 'run')",7
"('didnt', 'run')",6
"('successfully', 'rerunning')",6
"('got', 'killed')",6
"('job', 'wass')",6
"('wass', 're-started')",6
"('format', 'source')",6
"('successfully', 'source')",6
"('issue', 'hence')",6
"('dead', 'lock')",6
"('released', 'lock')",6
"('moved', 'row')",6
"('count', 'file')",6
"('reexecuted', 'completed')",6
"('issue', 'file')",6
"('due', 'connectivty')",6
"('connectivty', 'issue')",6
"('released', 'completed')",6
"('removed', 'duplicates')",6
"('duplicates', 're-run')",6
"('completed', 'back')",6
"('due', 'extraction')",6
"('trigerred', 'incorrectly')",6
"('incorrectly', 'hence')",6
"('manually', 'aborted')",6
"('completed', 'source')",6
"('duplicates', 'job')",6
"('failed', 'pipe')",6
"('time', '..')",6
"('..', 'issue')",6
"('issue', 'rsolved')",6
"('rsolved', 'job')",6
"('schedule', 'completed')",6
"('duplicates', 'completed')",6
"('timeout', 'job')",6
"('due', 'link')",6
"('ran', 'manually')",6
"('received', 'source')",6
"('stats', 'manually')",6
"('executed', 'back')",6
"('state', 'updated')",6
"('updated', 'manually')",6
"('triggered', 'kept')",6
"('kept', 'schedule')",6
"('bw', 'server')",6
"('resolved', 're-run')",6
"('restarted', 'source')",6
"('along', 'next')",6
"('value', 'issues')",6
"('occured', 'completed')",6
"('available', 'later')",6
"('due', 'huge')",6
"('support', 'liaising')",6
"('job', 'kept')",6
"('update', 'script')",6
"('files', 'moved')",6
"('brj', 'ems')",6
"('team', 'updated')",6
"('updated', 'source')",6
"('source', 'jobs')",6
"('jobs', 'incorrectly')",6
"('incorrectly', 'success')",6
"('rerun', 'backend')",6
"('files', 'unavailability')",6
"('warnings', 'marked')",6
"('process', 'increasing')",6
"('increasing', 'file')",6
"('count', 'avoid')",6
"('avoid', 'alerts')",6
"('job', 'stuck')",6
"('stuck', 'manually')",6
"('file', 'lock')",6
"('issue', 'later')",6
"('later', 'queue')",6
"('queue', 'cleared')",6
"('job', 'schedules')",5
"('schedules', 'kept')",5
"('hold', 'schedules')",5
"('schedules', 'didnt')",5
"('killed', 'hanged')",5
"('hanged', 'long')",5
"('cancelled', 'job')",5
"('format', 'issues')",5
"('occurred', 'rerun')",5
"('incorrect', 'stream')",5
"('stream', 'closure')",5
"('closure', 'issue')",5
"('failed', 'collect')",5
"('source', 'level')",5
"('level', 'issue')",5
"('i.e', 'source')",5
"('file', 'missing')",5
"('missing', 'invalid')",5
"('source', 'leads')",5
"('leads', 'job')",5
"('job', 'failure')",5
"('re-run', 'successfull')",5
"('tbload', 'issue.the')",5
"('issue.the', 'job')",5
"('outage', 'run')",5
"('restarted', 'file')",5
"('completed', 'backend')",5
"('received', 'batch')",5
"('arrival', 'area')",5
"('file', 'arrival')",5
"('brj', 'unlinked')",5
"('unlinked', 'hence')",5
"('database', 'unavailability.it')",5
"('unavailability.it', 'completed')",5
"('login', 'time-out')",5
"('job', 'job')",5
"('completed', 're-runing')",5
"('re-runing', 'job')",5
"('date', 'format')",5
"('manually', 'moved')",5
"('issue', 'released')",5
"('received', 'updated')",5
"('duplicate', 'issues')",5
"('failed', 're-run')",5
"('job', 'overrunning')",5
"('previous', 'batch')",5
"('time', 'hence')",5
"('successfully', 'received')",5
"('due', 'scheduler')",5
"('occurred', 'complete')",5
"('complete', 'job')",5
"('server', 'issues')",5
"('re-running', 'time')",5
"('reached', 'deadline')",5
"('re-ran', 'successfully')",5
"('another', 'instance')",5
"('instance', 'completed')",5
"('session', 'hang')",5
"('hang', 'issue')",5
"('job', 'hold')",5
"('data', 'received')",5
"('release', 'success')",5
"('first', 'time')",5
"('source', 'available')",5
"('later', 're-running')",5
"('run', 'manually')",5
"('closed', 'stream')",5
"('rerun', 'releasing')",5
"('unavailability', 'file')",5
"('insert', 'records')",5
"('ran', 'job')",5
"('moved', 'manually')",5
"('validation', 'issue')",5
"('delay', 'receiving')",5
"('fixed', 'manually')",4
"('run', 'past')",4
"('past', 'days')",4
"('days', 'due')",4
"('file', 'unavailaility')",4
"('unavailaility', 'hence')",4
"('file', 'unailability')",4
"('unailability', 'issue')",4
"('bad', 'character')",4
"('completed', 'succefully')",4
"('adn', 'job')",4
"('skipped', 'continued')",4
"('over-running', 'hence')",4
"('deadline', 'breached')",4
"('re-run', 'abend')",4
"('re-run', 'releasing')",4
"('releasing', 'lock')",4
"('end', 'successfully')",4
"('killed', 'got')",4
"('due', 'ambiguos')",4
"('ambiguos', 'error')",4
"('re-running', 'tdata')",4
"('tdata', 'script')",4
"('script', ""'s"")",4
"(""'s"", 'manually')",4
"('schedule', 'hold')",4
"('substitution', 'parameter')",4
"('successfully', 'server')",4
"('server', 'availability')",4
"('tdata', 'disconnected')",4
"('disconnected', 'rerun')",4
"('confirmed', 'success')",4
"('successfully', 're-ran')",4
"('since', 'issues')",4
"('issues', 'events')",4
"('events', 'brj')",4
"('brj', 'held')",4
"('held', 'lh')",4
"('lh', 'batched')",4
"('batched', 'brj')",4
"('brj', 'running')",4
"('due', 'connecitvity')",4
"('connecitvity', 'issue')",4
"('issue', 'theen')",4
"('theen', 'job')",4
"('hanged', 'running')",4
"('re-run', 'backend')",4
"('deleted', 'duplicates')",4
"('self', 'lock.script')",4
"('lock.script', 'executed')",4
"('moved', 'file')",4
"('stats', 'issue')",4
"('available', 'cancelled')",4
"('issue', 'cleared')",4
"('available', 'rerun')",4
"('completed', 'completed')",4
"('failure', 'brj.we')",4
"('brj.we', 'ran')",4
"('rerunning', 'job')",4
"('schedule', 'released')",4
"('scheduler', 'ssis')",4
"('ssis', 'tool')",4
"('tool', 'related')",4
"('related', 'issue')",4
"('job', 'terminated')",4
"('terminated', 're-running')",4
"('job', 'reached')",4
"('side', 'issue')",4
"('restarted', 'another')",4
"('duplicates', 'customer')",4
"('db', 'lock')",4
"('arrived', 'late')",4
"('late', 'job')",4
"('team', 'warranty')",4
"('source', 'data')",4
"('date', 'issue')",4
"('extraction', 'failed')",4
"('failed', 'job')",4
"('job', 'processed')",4
"('cancelled', 'hence')",4
"('hence', 'held')",4
"('brj', 'connection')",4
"('connection', 'issue.on')",4
"('run', 'resolved')",4
"('files', 'manually')",4
"('intimated', 'source')",4
"('scheduler', 'job')",4
"('liasing', 'admin')",4
"('admin', 'team')",4
"('development', 'team')",4
"('error', 'restarted')",4
"('box', 'reduced')",4
"('incorrect', 'deadlines')",4
"('batch', 'progressing')",4
"('due', 'script')",4
"('script', 'failure')",4
"('unavailability', 'liaising')",4
"('source', 'target')",4
"('bw', 'open')",4
"('hub', 'issue')",4
"('hub', 'connection')",4
"('bw', 'source')",4
"('source', 'system')",4
"('connection', 'reset')",4
"('batch', 'got')",4
"('query', 'tdata')",4
"('issue', 'lock')",4
"('job', 'file')",4
"('volume', 'tods')",4
"('tods', 'job')",4
"('got', 'locked')",4
"('locked', '.i.e')",4
"('.i.e', 'query')",4
"('query', 'insert')",4
"('records', 'sql')",4
"('sql', 'got')",4
"('got', 'self')",4
"('self', 'lock.we')",4
"('lock.we', 'killed')",4
"('executed', 'insert')",4
"('insert', 'update')",4
"('lock', 'occuured')",4
"('occuured', 'completed')",4
"('wrongly', 'raised')",4
"('issue', 'issus')",4
"('issus', 'fixed')",4
"('source', 'db')",4
"('db', 'available')",4
"('delay', 'source')",4
"('due', 'saa')",4
"('saa', 'warnings')",4
"('stuck', 'hence')",4
"('stats', 'failed')",3
"('abended', 'running')",3
"('time', 'next')",3
"(""'s"", 'backup')",3
"('backup', 'batch')",3
"('batch', 'covered')",3
"('covered', 'backlogs')",3
"('due', 'dupllicate/null/invalid')",3
"('dupllicate/null/invalid', 'format')",3
"('job', 'hanged')",3
"('due', 'low')",3
"('values', 'completed')",3
"('completed', 're-execution')",3
"('character', 'issue')",3
"('succefully', 'rerun')",3
"('table', 'data')",3
"('killed', 'due')",3
"('issue', 'resoved')",3
"('resoved', 'adn')",3
"('started', 'issue')",3
"('outage', 'successful')",3
"('format', 'job')",3
"('confirmed', 'backened')",3
"('killed', 'marked')",3
"('duplicates', 'deleted')",3
"('dependent', 'schedule')",3
"('source', 'count')",3
"('run', 'succesful')",3
"('file', 'unavailability.the')",3
"('unavailability.the', 'job')",3
"('file', 'made')",3
"('made', 'available')",3
"('completed', 'query')",3
"('query', 'ran')",3
"('re-run', 'removing')",3
"('duplicates', 'issue')",3
"('locked', 'release')",3
"('release', 'tbload')",3
"('connection', 'active')",3
"('active', 'cancelled')",3
"('table', 'locked.completed')",3
"('locked.completed', 'run')",3
"('run', 'tbload')",3
"('run', 'successful')",3
"('due', 'bad')",3
"('issue', 'data')",3
"('extraction', 'liasing')",3
"('completed', 'time')",3
"('got', 'faield')",3
"('faield', 'due')",3
"('connection', 'timeout')",3
"('file', 'archieve')",3
"('lock', 're-run')",3
"('self', 'lcok')",3
"('lcok', 'script')",3
"('updated', 'process')",3
"('reran', 'job')",3
"('due', 'rfc')",3
"('rfc', 'connectivitity')",3
"('connectivitity', 'exception')",3
"('exception', 'job')",3
"('fixed', 'batch')",3
"('batch', 'restarted')",3
"('jo', 'completed')",3
"('tbload', 'moved')",3
"('file', 'unavailbility')",3
"('removing', 'duplicates')",3
"('issue', 'extraction')",3
"('long', 'running')",3
"('cleared', 're-exection')",3
"('available', 'file')",3
"('issue', 'closing')",3
"('validation', 'job')",3
"('issue', 'isuse')",3
"('isuse', 'fixed')",3
"('correct', 'file')",3
"('manually', 'restarted')",3
"('killed', 'db')",3
"('db', 'locking')",3
"('locking', 'issue.we')",3
"('issue.we', 'executed')",3
"('copied', 'manually')",3
"('customer', 'file')",3
"('placed', 'completed')",3
"('reprocessed', 'adding')",3
"('adding', 'space')",3
"('brj', 'first')",3
"('time', 're-run')",3
"('tods', 'connection')",3
"('support', 'liasing')",3
"('timeout', 'error')",3
"('issue', 'batch')",3
"('housekeeping', 'done')",3
"('file', 're-running')",3
"('liaising', 'development')",3
"('stream', 'marked')",3
"('marked', 'job')",3
"('cancelled', 'due')",3
"('source', 'source')",3
"('team', 'resend')",3
"('resend', 'file')",3
"('file', 're-processing')",3
"('re-processing', 'job')",3
"('files', 'placed')",3
"('td/tods', 'team')",3
"('3', 'days')",3
"('triggered', 'hence')",3
"('hence', 'killed')",3
"('data', 'tbload')",3
"('progressing', 'correctly')",3
"('issue', '--')",3
"('abended', 'dependent')",3
"('dependent', 'source')",3
"('job', 'gets')",3
"('gets', 'completed')",3
"('job', 'released')",3
"('team', 'fix')",3
"('database', 'issue.completed')",3
"('issue.completed', 'successfully')",3
"('successfully', 'reexecuting')",3
"('due', 'schedulre')",3
"('schedulre', 'issue')",3
"('issue', 're-started')",3
"('re-started', 'later')",3
"('extraction', 'issue.on')",3
"('due', 'unavailability')",3
"('unavailability', 'source')",3
"('completion', 'customer')",3
"('customer', 'matching')",3
"('manually', 'ran')",3
"('due', 'space')",3
"('house', 'keeping')",3
"('low', 'space')",3
"('issue', 'rerunning')",3
"('lock', 'resolved')",3
"('td', 'dba')",3
"('files', 'copied')",3
"('issue', 'corrected')",3
"('available', 'liasing')",3
"('liasing', 'hdp')",3
"('hdp', 'team')",3
"('held', 'catch')",3
