N-gram,Frequency
"('job', 'got', 'failed', 'due')",978
"('issue', 'issue', 'fixed', 'job')",631
"('job', 'restarted', 'completed', 'successfully')",380
"('completed', 'running', 'query', 'manually')",374
"('issue', 'fixed', 'job', 'restarted')",359
"('re-run', 'job', 'completed', 'successfully')",344
"('issue', 'fixed', 'job', 're-started')",340
"('job', 'killed', 'completed', 'running')",316
"('killed', 'completed', 'running', 'query')",316
"('fixed', 'job', 'restarted', 'completed')",292
"('self-lock', 'occurred', 'job', 'killed')",201
"('occurred', 'job', 'killed', 'completed')",201
"('duplicate', 'issue', 'issue', 'fixed')",191
"('failed', 'due', 'connectivity', 'issue')",188
"('got', 'failed', 'due', 'connectivity')",181
"('executed', 'successfully', 'back', 'end')",160
"('due', 'connectivity', 'issue', 'job')",159
"('job', 'executed', 'successfully', 'back')",159
"('source', 'file', 'available', 'job')",156
"('job', 'got', 'completed', 'successfully')",155
"('due', 'duplicate', 'issue', 'issue')",153
"('failed', 'due', 'file', 'unavailability')",153
"('file', 'available', 'job', 're-run')",150
"('got', 'failed', 'due', 'file')",147
"('data', 'issue', 'issue', 'fixed')",141
"('failed', 'due', 'duplicate', 'issue')",136
"('got', 'failed', 'due', 'duplicate')",129
"('self-lock', 'occured', 'job', 'killed')",121
"('occured', 'job', 'killed', 'completed')",121
"('rerun', 'job', 'completed', 'successfully')",113
"('got', 'failed', 'due', 'tdata')",108
"('got', 'failed', 'due', 'data')",97
"('re-executed', 'job', 'completed', 'successfully')",97
"('connectivity', 'issue', 'job', 're-started')",97
"('job', 'abended', 'due', 'duplicate')",93
"('issue', 'job', 're-run', 'issue')",91
"('job', 'failed', 'due', 'log')",89
"('failed', 'due', 'log', 'time')",89
"('job', 're-run', 'issue', 'resolved')",86
"('re-running', 'job', 'got', 'completed')",84
"('due', 'duplicate', 'data', 'issue')",80
"('abended', 'due', 'duplicate', 'data')",79
"('job', 're-executed', 'completed', 'successfully')",79
"('job', 're-run', 'completed', 'file')",79
"('duplicate', 'data', 'issue', 'issue')",78
"('source', 'file', 'issue', 'job')",78
"('available', 'job', 're-run', 'completed')",78
"('re-run', 'completed', 'file', 'available')",78
"('due', 'database', 'connection', 'time')",77
"('source', 'issue', 'job', 're-run')",76
"('due', 'log', 'time', 'error.we')",74
"('log', 'time', 'error.we', 're-executed')",74
"('time', 'error.we', 're-executed', 'job')",74
"('error.we', 're-executed', 'job', 'completed')",74
"('released', 'job', 're-run', 'successfully')",73
"('available', 'job', 're-run', 'file')",72
"('connectivity', 'issue', 'issue', 'fixed')",69
"('error', 'tbload', 'released', 'job')",68
"('abended', 'pipe', 'error', 'due')",67
"('due', 'file', 'unavailability', 'issue')",66
"('pipe', 'error', 'due', 'database')",66
"('error', 'due', 'database', 'connection')",66
"('file', 'unavailability', 'issue', 'fixed')",65
"('unavailability', 'issue', 'fixed', 'job')",65
"('job', 'completed', 'successfully', 're-run')",65
"('issue', 'fixed', 'job', 're-executed')",65
"('job', 're-run', 'file', 'available')",65
"('named-pipe', 'error', 'tbload', 'released')",65
"('tbload', 'released', 'job', 're-run')",65
"('job', 'failed', 'due', 'duplicate')",64
"('records', 'job', 'completed', 'successfully')",64
"('due', 'data', 'issue', 'issue')",64
"('invalid', 'records', 'job', 'completed')",62
"('job', 'completed', 'running', 'query')",61
"('issue', 'job', 're-started', 'completed')",60
"('job', 'abended', 'due', 'brj')",60
"('failed', 'due', 'data', 'issue')",59
"('.we', 're-executed', 'job', 'deleteing')",57
"('re-executed', 'job', 'deleteing', 'invalid')",57
"('job', 'deleteing', 'invalid', 'records')",57
"('deleteing', 'invalid', 'records', 'job')",57
"('job', 'got', 'abended', 'due')",56
"('job', 'got', 'abended', 'pipe')",55
"('got', 'abended', 'pipe', 'error')",55
"('previous', 'day', ""'s"", 'batch')",55
"('day', ""'s"", 'batch', 'closed')",55
"(""'s"", 'batch', 'closed', 'job')",55
"('batch', 'closed', 'job', 're-run')",55
"('closed', 'job', 're-run', 'closed')",55
"('job', 're-run', 'closed', 'completed')",55
"('failed', 'due', 'brj', 'issue')",54
"('re-run', 'closed', 'completed', 'successfully')",54
"('issue', 'fixed', 'job', 'started')",53
"('self', 'lock', 'script', 'executed')",53
"('issue', 'rerun', 'job', 'completed')",53
"('job', 're-started', 'completed', 'successfully')",52
"('failed', 'due', 'tdata', 'connectivity')",52
"('due', 'tdata', 'connectivity', 'issue')",52
"('abended', 'due', 'brj', 'environment')",51
"('brj', 'issue', 'job', 're-run')",50
"('due', 'brj', 'environment', 'issue')",50
"('failed', 'due', 'duplicate', 'records')",49
"('due', 'duplicate', 'records', '.we')",49
"('duplicate', 'records', '.we', 're-executed')",49
"('records', '.we', 're-executed', 'job')",49
"('due', 'file', 'unavailability', 'job')",49
"('job', 'abended', 'due', 'database')",48
"('file', 'issue', 'job', 'completed')",48
"('failed', 'due', 'tdata', 'outage')",47
"('failed', 'due', 'lock', 'issue')",47
"('job', 'ran', 'successfully', 're-run')",46
"('got', 'failed', 'due', 'name')",45
"('failed', 'due', 'name', 'pipe')",45
"('fixed', 'job', 're-executed', 'completed')",45
"('tbload', 'issue', 'issue', 'fixed')",45
"('failed', 'due', 'tbload', 'issue')",45
"('due', 'name', 'pipe', 'error')",44
"('issue', 'job', 're-run', 'brj')",44
"('job', 're-run', 'brj', 'completed')",44
"('re-run', 'brj', 'completed', 'successfully')",44
"('brj', 'environment', 'issue', 'issue')",44
"('environment', 'issue', 'issue', 'fixed')",44
"('issues', 'td', 'upgrade', 'happened')",43
"('td', 'upgrade', 'happened', 'weekend')",43
"('upgrade', 'happened', 'weekend', 'later')",43
"('happened', 'weekend', 'later', 'fixed')",43
"('weekend', 'later', 'fixed', 'td')",43
"('later', 'fixed', 'td', 'team')",43
"('fixed', 'td', 'team', 'jobs')",43
"('td', 'team', 'jobs', 'processed')",43
"('team', 'jobs', 'processed', 'completed')",43
"('jobs', 'processed', 'completed', 'successfully')",43
"('job', 'rerun', 'data', 'fix')",43
"('issue', 're-running', 'job', 'got')",42
"('due', 'tdata', 'outage', 'job')",42
"('due', 'tbload', 'issue', 'issue')",42
"('self-lock', 'occured', 'job', 'completed')",41
"('due', 'count', 'mismatch', 'issue')",41
"('count', 'mismatch', 'issue', 'fixed')",41
"('mismatch', 'issue', 'fixed', 'job')",41
