N-gram,Frequency
"('issue', 'job', 're-executed', 'completed')",40
"('connectivity', 'issue', 'job', 're-executed')",39
"('issue', 'job', 'completed', 'receiving')",39
"('job', 'completed', 'receiving', 'file')",39
"('got', 'failed', 'due', 'tbload')",39
"('issue', 're-run', 'job', 'completed')",38
"('issue', 'td', 'upgrade', 'fix')",37
"('td', 'upgrade', 'fix', 'later')",37
"('upgrade', 'fix', 'later', 'provided')",37
"('due', 'data', 'duplicate', 'issue')",37
"('data', 'duplicate', 'issue', 'issue')",37
"('got', 'failed', 'due', 'process')",37
"('failed', 'due', 'process', 'state')",37
"('due', 'process', 'state', 'failure')",37
"('brj', 'issue', 'completed', 're-run')",37
"('requested', 'source', 'team', 'place')",36
"('job', 'completed', 'successfully', 're-executing')",36
"('completed', 'successfully', 're-executing', 'job')",36
"('abended', 'due', 'database', 'login')",35
"('completed', 'job', 'running', 'script')",35
"('failed', 'due', 'data', 'duplicate')",34
"('job', 'rerun', 'completed', 'successfully')",34
"('file', 'unavailability', 'job', 'started')",34
"('unavailability', 'job', 'started', 'file')",34
"('job', 'started', 'file', 'placed')",34
"('failure', 'issue', 'fixed', 'job')",34
"('job', 'abended', 'due', 'data')",34
"('job', 'abended', 'source', 'file')",33
"('name', 'pipe', 'error', 'job')",32
"('tdata', 'connectivity', 'issue', 'issue')",32
"('connectivity', 'issue', 'job', 'restarted')",32
"('process', 'state', 'failure', 'issue')",32
"('got', 'failed', 'due', 'brj')",32
"('due', 'connectivity', 'issue', 'issue')",31
"('job', 'completed', 'successfully', 'receiving')",31
"('due', 'null', 'value', 'issue')",31
"('abended', 'due', 'duplicate', 'issue')",31
"('due', 'brj', 'issue', 'issue')",31
"('completed', 'successfully', 'receiving', 'updated')",30
"('successfully', 'receiving', 'updated', 'file')",30
"('issue', 'job', 'restarted', 'completed')",30
"('self', 'lock', 'occurred', 'completed')",30
"('null', 'value', 'issue', 'issue')",29
"('value', 'issue', 'issue', 'fixed')",29
"('state', 'failure', 'issue', 'fixed')",29
"('job', 'failed', 'due', 'tods')",28
"('job', 'reprocessed', 'data', 'fix')",28
"('started', 'file', 'placed', 'path')",27
"('got', 'failed', 'due', 'crm')",27
"('failed', 'due', 'crm', 'source')",27
"('failed', 'due', 'tods', 'issue')",27
"('due', 'tods', 'issue', 're-run')",27
"('tods', 'issue', 're-run', 'job')",27
"('failed', 'due', 'null', 'value')",26
"('lock', 'occurred', 'completed', 'job')",26
"('scheduler', 'issue', 'job', 'reprocessed')",26
"('executed', 'job', 'back', 'end')",26
"('occurred', 'completed', 'job', 'running')",25
"('job', 're-executed', 'compelted', 'sucecssfully')",25
"('rerun', 'successful', 'data', 'fix')",25
"('time', 'issue', 'issue', 'fixed')",25
"('brj', 'issue', 'rerun', 'job')",25
"('brj', 'manually', 'executed', 'job')",25
"('manually', 'executed', 'job', 'back')",25
"('self-lock', 'job', 'completed', 'running')",24
"('got', 'abended', 'due', 'duplicate')",24
"('tdata', 'outage', 'job', 're-started')",24
"('outage', 'job', 're-started', 'outage')",24
"('job', 're-started', 'outage', 'compelted')",24
"('fixed', 'job', 're-executed', 'compelted')",24
"('due', 'lock', 'issue', 're-running')",24
"('lock', 'issue', 're-running', 'job')",24
"('job', 'triggering', 'brj', 'manually')",24
"('triggering', 'brj', 'manually', 'executed')",24
"('issue', 'job', 'got', 'failed')",24
"('restarted', 'job', 'got', 'completed')",23
"('hence', 'jobs', 'failed', 'jobs')",23
"('jobs', 'failed', 'jobs', 're-run')",23
"('failed', 'jobs', 're-run', 'successfully')",23
"('tbload', 'issue', 'job', 'rerun')",23
"('file', 'issue', 'job', 'got')",23
"('due', 'database', 'login', 'time')",22
"('database', 'login', 'time', 'issue')",22
"('got', 'failed', 'due', 'login')",22
"('job', 'failed', 'due', 'null')",22
"('database', 'connection', 'time', 'job')",22
"('connection', 'time', 'job', 'restarted')",22
"('time', 'job', 'restarted', 'completed')",22
"('format', 'issue', 'fixed', 'job')",22
"('source', 'file', 'unavailability', 'job')",22
"('job', 'failed', 'due', 'file')",22
"('job', 'abended', 'stream', 'instance')",22
"(""n't"", 'get', 'triggered', 'backend')",22
"('get', 'triggered', 'backend', 'console')",22
"('tods', 'server', 'issue', 'job')",22
"('due', 'queue', 'file', 'issue')",22
"('queue', 'file', 'issue', 'job')",22
"('job', 'completed', 'manually', 'running')",21
"('completed', 'manually', 'running', 'query')",21
"('failed', 'due', 'login', 'time')",21
"('job', 'abended', 'oraacle', 'source')",21
"('abended', 'oraacle', 'source', 'database')",21
"('oraacle', 'source', 'database', 'job')",21
"('source', 'database', 'job', 'restarted')",21
"('database', 'job', 'restarted', 'oracle')",21
"('job', 'restarted', 'oracle', 'server')",21
"('restarted', 'oracle', 'server', 'restarted')",21
"('got', 'failed', 'due', 'count')",21
"('got', 'abended', 'due', 'count')",21
"('abended', 'due', 'count', 'mismatch')",21
"('job', 'got', 'executed', 'successfully')",21
"('batch', 'day', ""'s"", 'run')",21
"('due', 'brj', 'issue', 'jobs')",21
"('brj', 'issue', 'jobs', ""n't"")",21
"('issue', 'jobs', ""n't"", 'get')",21
"('jobs', ""n't"", 'get', 'triggered')",21
"('job', ""n't"", 'trigger', 'brj')",21
"(""n't"", 'trigger', 'brj', 'failed')",21
"('trigger', 'brj', 'failed', 'due')",21
"('brj', 'failed', 'due', 'brj')",21
"('failed', 'due', 'brj', 'issue.we')",21
"('due', 'brj', 'issue.we', 're-executed')",21
"('brj', 'issue.we', 're-executed', 'job')",21
"('issue.we', 're-executed', 'job', 'completed')",21
"('issue.on', 're-run', 'job', 'completed')",21
"('pipe', 'error', 'job', 're-started')",20
"('error', 'job', 're-started', 'completed')",20
"('job', 'abended', 'source', 'files')",20
"('abended', 'source', 'files', 'available')",20
"('source', 'team', 'place', 'file')",20
"('team', 'place', 'file', 'restarted')",20
"('place', 'file', 'restarted', 'job')",20
"('file', 'restarted', 'job', 'got')",20
"('fix', 'later', 'provided', 'td')",20
"('later', 'provided', 'td', 'team')",20
"('provided', 'td', 'team', 'job')",20
"('td', 'team', 'job', 'rerun')",20
"('team', 'job', 'rerun', 'completed')",20
"('abended', 'due', 'data', 'issues')",20
"('due', 'data', 'issues', 'i.e')",20
"('data', 'issues', 'i.e', 'duplicates/null')",20
"('issues', 'i.e', 'duplicates/null', 'values/invalid')",20
"('i.e', 'duplicates/null', 'values/invalid', 'data')",20
"('duplicates/null', 'values/invalid', 'data', 'format')",20
"('values/invalid', 'data', 'format', 'issue')",20
"('data', 'format', 'issue', 'fixed')",20
"('failed', 'due', 'count', 'mismatch')",20
"('job', 'failed', 'due', 'log-in')",20
"('failed', 'due', 'log-in', 'time')",20
"('due', 'log-in', 'time', 're-executed')",20
"('log-in', 'time', 're-executed', 'completed')",20
"('time', 're-executed', 'completed', 'successfully')",20
"('file', 'unavailability', 'job', 'completed')",20
"('unavailability', 'job', 'completed', 'successfully')",20
"('tdata', 'connectivity', 'issue', 'job')",20
"('got', 'executed', 'successfully', 're-run')",20
"('cancelled', 'batch', 'day', ""'s"")",20
"('triggered', 'backend', 'console', 're-running')",20
"('backend', 'console', 're-running', 'job')",20
"('console', 're-running', 'job', 'got')",20
"('issue', 'fixe', 'job', 're-started')",20
"('source', 'files', 'available', 'source')",19
"('files', 'available', 'source', 'path')",19
"('available', 'source', 'path', 'requested')",19
"('source', 'path', 'requested', 'source')",19
"('path', 'requested', 'source', 'team')",19
"('abended', 'source', 'file', 'received')",19
"('brj', 'issue', 'issue', 'fixe')",19
"('issue', 'issue', 'fixe', 'job')",19
"('job', 'executed', 'successfully', 're-run')",18
"('batch', 'issues', 'jobs', 're-run')",18
"('issues', 'jobs', 're-run', 'successfully')",18
"('tdata', 'outage', 'job', 'started')",18
"('outage', 'job', 'started', 'outage')",18
"('brj', 'hence', 'jobs', 'failed')",18
"('issue', 'job', 're-run', 'successfully')",18
"('jobs', 'completed', 'tods', 'console')",18
"('completed', 'tods', 'console', 'failed')",18
"('run', 'along', 'today', ""'s"")",18
"('due', 'file', 'unavailability', 'schedule')",18
"('file', 'unavailability', 'schedule', 'cancelled')",18
"('unavailability', 'schedule', 'cancelled', 'day')",18
"('login', 'time', 'job', 'rerun')",18
"('kept', 'hold', 'due', 'file')",18
"('hold', 'due', 'file', 'unavailability')",18
"('failed', 'due', 'row', 'count')",17
"('fix', 'later', 'provided', 'dba')",17
"('later', 'provided', 'dba', 'jobs')",17
"('provided', 'dba', 'jobs', 'rerun')",17
"('dba', 'jobs', 'rerun', 'completed')",17
"('jobs', 'rerun', 'completed', 'successfully')",17
"('got', 'failed', 'due', 'source')",17
"('occured', 'job', 'completed', 'manually')",17
"('job', 'abended', 'due', 'tods')",17
"('job', 'failed', 'due', 'row')",16
"('due', 'row', 'count', 'mismatch')",16
"('row', 'count', 'mismatch', 'source')",16
"('count', 'mismatch', 'source', 'file')",16
"('mismatch', 'source', 'file', 'ods')",16
"('source', 'file', 'ods', 'table')",16
"('file', 'ods', 'table', 'requested')",16
"('ods', 'table', 'requested', 'source')",16
"('table', 'requested', 'source', 'team')",16
"('source', 'team', 'place', 'source')",16
"('team', 'place', 'source', 'files')",16
"('place', 'source', 'files', 'job')",16
"('source', 'files', 'job', 'completed')",16
"('files', 'job', 'completed', 'placing')",16
"('job', 'completed', 'placing', 'source')",16
"('completed', 'placing', 'source', 'file')",16
"('placing', 'source', 'file', 'source')",16
"('source', 'file', 'source', 'path')",16
"('job', 'ran', 'successfully', 'rerun')",16
"('unavailability', 'job', 'cancelled', 'day')",16
"('occured', 'job', 'completed', 'running')",16
"('completed', 'successfully', 'running', 'query')",16
"('successfully', 'running', 'query', 'manually')",16
"('due', 'login', 'timeout', 'issue')",16
"('file', 'issue', 'job', 're-run')",16
"('along', 'today', ""'s"", 'batch')",16
"('jobs', 'kept', 'hold', 'due')",16
"('job', 'got', 'failed', 'files')",16
"('got', 'failed', 'files', 'received')",16
"('fixed', 'job', 're-started', 'completed')",15
"('job', 'got', 'trigerred', 'wrongly')",15
"('got', 'trigerred', 'wrongly', 'hence')",15
"('trigerred', 'wrongly', 'hence', 'job')",15
"('wrongly', 'hence', 'job', 'aborted')",15
"('timeout', 'issue', 'issue', 'fixed')",15
"('issue', 'job', 'completed', 'running')",15
"('failed', 'due', 'named', 'piped')",15
"('due', 'named', 'piped', 'error')",15
"('duplicate', 'issue', 'source', 'file')",15
"('issue', 'source', 'file', 'job')",15
"('tdata', 'tbload', 'issue', 'job')",15
"('tbload', 'issue', 'job', 're-run')",15
"('job', 're-run', 'successfully', 'tbload')",15
"('re-run', 'successfully', 'tbload', 'release')",15
"('failed', 'files', 'received', 'manually')",15
"('failed', 'due', 'source', 'unavailability')",14
"('due', 'source', 'unavailability', 'job')",14
"('source', 'unavailability', 'job', 'cancelled')",14
"('due', 'login', 'time', 'issue')",14
"('hence', 'job', 'aborted', 'cancelled')",14
"('issues', 'issue', 'fixed', 'job')",14
"('got', 'failed', 'due', 'null')",14
"('job', 'abended', 'due', 'login')",14
"('login', 'timeout', 'issue', 'issue')",14
"('time', 'issue', 'rerun', 'job')",14
"('database', 'connection', 'time', 'issue')",14
"('due', 'crm', 'source', 'connecitivity')",14
"('crm', 'source', 'connecitivity', 'issue')",14
"('source', 'connecitivity', 'issue', 'issue')",14
"('connecitivity', 'issue', 'issue', 'fixed')",14
"('source', 'file', 'received', 'cancelled')",14
"('file', 'received', 'cancelled', 'batch')",14
"('received', 'cancelled', 'batch', 'day')",14
"('due', 'source', 'file', 'issue')",14
"('source', 'file', 'job', 're-run')",14
"('file', 'job', 're-run', 'completed')",14
"('job', 're-run', 'completed', 'successfully')",14
"('re-run', 'completed', 'successfully', 'file')",14
"('completed', 'successfully', 'file', 'corrected')",14
"('job', 'got', 'failed', 'manaully')",14
"('got', 'failed', 'manaully', 'clear')",14
"('failed', 'manaully', 'clear', 'queue')",14
"('files', 'received', 'manually', 'run')",14
"('received', 'manually', 'run', 'job')",14
"('manually', 'run', 'job', 'successfully')",14
"('login', 'time', 'issue', 'load')",13
"('time', 'issue', 'load', 'td')",13
"('issue', 'load', 'td', 'box')",13
"('load', 'td', 'box', 'reexecuted')",13
"('td', 'box', 'reexecuted', 'job')",13
"('box', 'reexecuted', 'job', 'load')",13
"('reexecuted', 'job', 'load', 'reduced')",13
"('job', 'load', 'reduced', 'job')",13
"('load', 'reduced', 'job', 'got')",13
"('reduced', 'job', 'got', 'completed')",13
"('schedule', 'triggered', 'wrongly', 'job')",13
"('triggered', 'wrongly', 'job', 'killed')",13
"('wrongly', 'job', 'killed', 'manually')",13
"('failed', 'due', 'duplicate', '.we')",13
"('due', 'duplicate', '.we', 're-executed')",13
"('duplicate', '.we', 're-executed', 'job')",13
"('due', 'login', 'time', 'job')",13
"('login', 'time', 'job', 're-started')",13
"('job', 'failed', 'due', 'tbload.it')",13
"('failed', 'due', 'tbload.it', 'completed')",13
"('job', 're-run', 'file', 'avaialble')",13
"('login', 'timed', 'error', 'completed')",13
"('timed', 'error', 'completed', 're-run')",13
"('re-executed', 'job', 'deleting', 'invalid')",13
"('job', 'deleting', 'invalid', 'records')",13
"('name', 'pipe', 'error', 'issue')",13
"('issue', 'due', 'td', 'upgrade')",13
"('due', 'td', 'upgrade', 'successful')",13
"('td', 'upgrade', 'successful', 'rerun')",13
"('due', 'log', 'time', 'error')",13
"('log', 'time', 'error', 'bee')",13
"('time', 'error', 'bee', 're-executed')",13
"('error', 'bee', 're-executed', 'completed')",13
"('bee', 're-executed', 'completed', 'successfully')",13
"('job', 'failed', 'due', 'server')",13
"('due', 'database', 'login', 'timeout')",13
"('abended', 'stream', 'instance', 'still')",13
"('stream', 'instance', 'still', 'active')",13
"('issue', 'td', 'upgrade', 'job')",13
"('td', 'upgrade', 'job', 'rerun')",13
"('upgrade', 'job', 'rerun', 'fix')",13
"('job', 'rerun', 'fix', 'td')",13
"('rerun', 'fix', 'td', 'team')",13
"('fix', 'td', 'team', 'completed')",13
"('td', 'team', 'completed', 'successfully')",13
"('login', 'time', 'issue', 'issue')",13
"('scheduler', 'issue', 'job', 'rerun')",13
"('source', 'file', 'issue', 'liasing')",13
"('abended', 'due', 'database', 'connection')",13
"('brj', 'issue.on', 're-run', 'job')",13
"('due', 'crm', 'source', 'connectivity')",13
"('crm', 'source', 'connectivity', 'issue')",13
"('source', 'connectivity', 'issue', 'issue')",13
"('named', 'pipe', 'error', 'lock')",12
"('pipe', 'error', 'lock', 'released')",12
"('due', 'tbload.it', 'completed', 'successfulll')",12
"('tbload.it', 'completed', 'successfulll', 'releasing')",12
"('completed', 'successfulll', 'releasing', 'tbload')",12
"('failed', 'due', 'null', 'values')",12
"('job', 'abended', 'due', 'tbload')",12
"('abended', 'due', 'tbload', 'issue')",12
"('job', 'completed', 'succesfully', 're-run')",12
"('time', 'issue', 'rerun', 'success')",12
"('job', 'abended', 'pipe', 'error')",12
"('spool', 'space', 'db', 'completed')",12
"('space', 'db', 'completed', 're-run')",12
"('job', 'abended', 'due', 'source')",12
"('wnash', 'access', 'issue', 'rerun')",12
"('access', 'issue', 'rerun', 'job')",12
"('brj', 'issue', 'issue', 'fixed')",12
"('login', 'timeout', 'issue', 'fixed')",12
"('timeout', 'issue', 'fixed', 'job')",12
"('connection', 'time', 'issue', 'issue')",12
"('got', 'failed', 'due', 'tods')",12
"('failed', 'due', 'tods', 'scheduler')",12
"('due', 'tods', 'scheduler', 'connectivity')",12
"('tods', 'scheduler', 'connectivity', 'issue')",12
"('got', 'completed', 'successfully', 're-run')",12
"('file', 'issue', 'liasing', 'source')",12
"('issue', 'liasing', 'source', 'team')",12
"('failed', 'due', 'source', 'file')",12
"('due', 'source', 'file', 'unavailability')",12
"('job', 're-started', 'issue', 'fixed')",11
"('job', 'failed', 'due', 'hadoop')",11
"('failed', 'due', 'hadoop', 'database')",11
"('due', 'hadoop', 'database', 'issue')",11
"('error', 'lock', 'released', 'job')",11
"('lock', 'released', 'job', 're-run')",11
"('issue', 'td', 'upgrade', 'happened')",11
"('td', 'upgrade', 'happened', 'fix')",11
"('upgrade', 'happened', 'fix', 'later')",11
"('happened', 'fix', 'later', 'provide')",11
"('fix', 'later', 'provide', 'dba')",11
"('later', 'provide', 'dba', 'job')",11
"('provide', 'dba', 'job', 'rerun')",11
"('dba', 'job', 'rerun', 'completed')",11
"('pipe', 'error', 'job', 'restarted')",11
"('error', 'job', 'restarted', 'completed')",11
"('batch', 'entry', 'updated', 'entry')",11
"('entry', 'updated', 'entry', 'r')",11
"('updated', 'entry', 'r', 'status')",11
"('entry', 'r', 'status', 'f')",11
"('r', 'status', 'f', 'job')",11
"('status', 'f', 'job', 'completed')",11
"('f', 'job', 'completed', 'successfully')",11
"('job', 'failed', 'due', 'td')",11
"('failed', 'due', 'td', 'upgrade')",11
"('due', 'td', 'upgrade', 'issue.it')",11
"('td', 'upgrade', 'issue.it', 'completed')",11
"('upgrade', 'issue.it', 'completed', 'successfully')",11
"('issue.it', 'completed', 'successfully', 'issue')",11
"('completed', 'successfully', 'issue', 'resolved')",11
"('error', 're-run', 'job', 'completed')",11
"('rerun', 'job', 'executed', 'successfully')",11
"('failed', 'due', 'file', 'unavailability.this')",11
"('due', 'file', 'unavailability.this', 'resolved')",11
"('file', 'unavailability.this', 'resolved', 'file')",11
"('unavailability.this', 'resolved', 'file', 'recieved')",11
"('resolved', 'file', 'recieved', 're-execution')",11
"('extraction', 'issue', 'job', 'rerun')",11
"('issue', 'job', 'rerun', 'issue')",11
"('job', 'rerun', 'issue', 'solved')",11
"('job', 'abended', 'due', 'invalid')",11
"('ftp', 'issue', 'manually', 'transfer')",11
"('issue', 'manually', 'transfer', 'files')",11
"('manually', 'transfer', 'files', 'successfully')",11
"('manually', 'job', 'restarted', 'completed')",10
"('job', 'completed', 'successfully', 'running')",10
"('job', 'got', 'falied', 'due')",10
"('job', 'completed', 'successful', 're-run')",10
"('issue', 'issue', 'resolved', 'job')",10
"('job', 'failed', 'update', 'status')",10
"('failed', 'update', 'status', 'query.we')",10
"('update', 'status', 'query.we', 'manually')",10
"('status', 'query.we', 'manually', 'changed')",10
"('query.we', 'manually', 'changed', 'status')",10
"('manually', 'changed', 'status', 'job')",10
"('changed', 'status', 'job', 'completed')",10
"('status', 'job', 'completed', 'successfully')",10
"('time-out', 'error', 're-run', 'job')",10
"('job', 'completed', 'successfully', 'rerun')",10
"('job', 're-started', 'completed', 'succcessfully')",10
"('self-lock', 'issue', 'job', 'completed')",10
"('job', 'failed', 'due', 'database')",10
"('abended', 'source', 'file', 'available')",10
"('tods', 'console', 'failed', 'brj')",10
"('console', 'failed', 'brj', '.this')",10
"('failed', 'brj', '.this', 'due')",10
"('brj', '.this', 'due', 'brj')",10
"('.this', 'due', 'brj', 'issue')",10
"('due', 'brj', 'issue', 'resolved')",10
"('failed', 'due', 'source', 'database')",10
"('issue', 'job', 'completed', 'issue')",10
"('job', 'completed', 'issue', 'resolved')",10
"('failed', 'due', 'brj', 'issue.didnt')",10
"('due', 'brj', 'issue.didnt', 'ran')",10
"('brj', 'issue.didnt', 'ran', 'console')",10
"('issue.didnt', 'ran', 'console', 'failed')",10
"('ran', 'console', 'failed', 'brj.re-executed')",10
"('console', 'failed', 'brj.re-executed', 'job')",10
"('failed', 'brj.re-executed', 'job', 'completed')",10
"('brj.re-executed', 'job', 'completed', 'successfully')",10
"('job', 'abended', 'due', 'null')",10
"('abended', 'due', 'null', 'value')",10
"('tbload', 'issue', 'job', 'reprocessed')",10
"('failed', 'due', 'server', 'restart')",10
"('manaully', 'clear', 'queue', 'ans')",10
"('clear', 'queue', 'ans', 'run')",10
"('fixed', 'job', 're-started', 'issue')",9
"('failed', 'due', 'tdata', 'connecitivity')",9
"('due', 'tdata', 'connecitivity', 'issuee')",9
"('tdata', 'connecitivity', 'issuee', 'job')",9
"('connecitivity', 'issuee', 'job', 're-started')",9
"('issuee', 'job', 're-started', 'completed')",9
"('pipe', 'error', 'issue', 'job')",9
"('error', 'issue', 'job', 're-started')",9
"('issue', 'fixed', 'job', 'fixed')",9
"('fixed', 'job', 'fixed', 'job')",9
"('job', 'fixed', 'job', 're-executed')",9
"('issue', 'job', 'completed', 'file')",9
"('job', 'executed', 'successfully', 'rerun')",9
"('abended', 'stream', 'instance', 'active')",9
"('due', 'spool', 'space', 'issue')",9
"('due', 'brj', 'issue', 'job')",9
"('connectivity', 'issue', 're-running', 'job')",9
"('job', 'disabled', 'wrongly', 'triggered')",9
"('duplicate', 'issue', 'job', 'compelted')",9
"('issue', 'job', 'compelted', 're-run')",9
"('job', 'restarted', 'time', 'completed')",9
"('restarted', 'time', 'completed', 'successfully')",9
"('completed', 'batch', 'running', 'script')",9
"('source', 'file', 'unavailaibilty', 'liaising')",9
"('file', 'unavailaibilty', 'liaising', 'source')",9
"('unavailaibilty', 'liaising', 'source', 'team')",9
"('abended', 'due', 'data', 'base')",9
"('job', 'abended', 'due', 'tns')",9
"('abended', 'due', 'tns', 'listener')",9
"('due', 'tns', 'listener', 'failure')",9
"('tns', 'listener', 'failure', 'job')",9
"('listener', 'failure', 'job', 'restarted')",9
"('failure', 'job', 'restarted', 'issue')",9
"('job', 'restarted', 'issue', 'fixed')",9
"('restarted', 'issue', 'fixed', 'completed')",9
"('issue', 'fixed', 'completed', 'successfully')",9
"('due', 'server', 'restart', 'job')",9
"('server', 'restart', 'job', 'reprocessed')",9
"('queue', 'ans', 'run', 'job')",9
"('ans', 'run', 'job', 'successfully')",9
