N-gram,Frequency
"('unavailability', 'issue', 'fixed')",65
"('re-run', 'file', 'available')",65
"('brj', 'issue', 'job')",65
"('job', 'ran', 'successfully')",64
"('records', 'job', 'completed')",64
"('.we', 're-executed', 'job')",62
"('invalid', 'records', 'job')",62
"('job', 'abended', 'source')",61
"('issue', 'td', 'upgrade')",61
"('abended', 'due', 'brj')",60
"('issue', 'job', 'rerun')",60
"('day', ""'s"", 'batch')",60
"('due', 'tbload', 'issue')",59
"('re-executed', 'job', 'deleteing')",57
"('job', 'deleteing', 'invalid')",57
"('deleteing', 'invalid', 'records')",57
"('got', 'abended', 'due')",56
"('got', 'abended', 'pipe')",55
"('tbload', 'issue', 'job')",55
"('previous', 'day', ""'s"")",55
"(""'s"", 'batch', 'closed')",55
"('batch', 'closed', 'job')",55
"('closed', 'job', 're-run')",55
"('job', 're-run', 'closed')",55
"('re-run', 'closed', 'completed')",55
"('td', 'upgrade', 'happened')",54
"('self', 'lock', 'script')",54
"('lock', 'script', 'executed')",54
"('closed', 'completed', 'successfully')",54
"('fixed', 'job', 'started')",53
"('ran', 'successfully', 're-run')",53
"('issue', 'rerun', 'job')",53
"('brj', 'environment', 'issue')",53
"('re-started', 'completed', 'successfully')",52
"('due', 'tdata', 'connectivity')",52
"('tdata', 'connectivity', 'issue')",52
"('failed', 'due', 'tbload')",52
"('rerun', 'completed', 'successfully')",51
"('issue', 'job', 'restarted')",51
"('due', 'brj', 'environment')",51
"('due', 'duplicate', 'records')",49
"('duplicate', 'records', '.we')",49
"('records', '.we', 're-executed')",49
"('abended', 'due', 'database')",48
"('rerun', 'data', 'fix')",48
"('issue', 'job', 'reprocessed')",48
"('failed', 'due', 'source')",47
"('due', 'tdata', 'outage')",47
"('failed', 'due', 'lock')",47
"('due', 'lock', 'issue')",47
"('due', 'name', 'pipe')",46
"('issue', 're-run', 'job')",46
"('failed', 'due', 'name')",45
"('name', 'pipe', 'error')",45
"('tbload', 'issue', 'issue')",45
"('issue', 'job', 're-executed')",44
"('job', 're-run', 'brj')",44
"('re-run', 'brj', 'completed')",44
"('brj', 'completed', 'successfully')",44
"('failed', 'due', 'tods')",44
"('environment', 'issue', 'issue')",44
"('login', 'time', 'issue')",43
"('issues', 'td', 'upgrade')",43
"('upgrade', 'happened', 'weekend')",43
"('happened', 'weekend', 'later')",43
"('weekend', 'later', 'fixed')",43
"('later', 'fixed', 'td')",43
"('fixed', 'td', 'team')",43
"('td', 'team', 'jobs')",43
"('team', 'jobs', 'processed')",43
"('jobs', 'processed', 'completed')",43
"('processed', 'completed', 'successfully')",43
"('scheduler', 'issue', 'job')",43
"('job', 'rerun', 'data')",43
"('issue', 're-running', 'job')",42
"('self', 'lock', 'occurred')",42
"('tdata', 'outage', 'job')",42
"('job', 'cancelled', 'day')",41
"('occured', 'job', 'completed')",41
"('jobs', 're-run', 'successfully')",41
"('due', 'count', 'mismatch')",41
"('count', 'mismatch', 'issue')",41
"('mismatch', 'issue', 'fixed')",41
"('job', 'running', 'script')",40
"('run', 'job', 'successfully')",40
"('executed', 'successfully', 're-run')",39
"('job', 'completed', 'receiving')",39
"('completed', 'receiving', 'file')",39
"('failed', 'due', 'null')",39
"('issue', 'completed', 're-run')",39
"('abended', 'due', 'data')",38
"('source', 'file', 'unavailability')",38
"('requested', 'source', 'team')",37
"('td', 'upgrade', 'fix')",37
"('upgrade', 'fix', 'later')",37
"('fix', 'later', 'provided')",37
"('due', 'data', 'duplicate')",37
"('data', 'duplicate', 'issue')",37
"('failed', 'due', 'process')",37
"('due', 'process', 'state')",37
"('process', 'state', 'failure')",37
"('brj', 'issue', 'completed')",37
"('source', 'team', 'place')",36
"('due', 'null', 'value')",36
"('completed', 'successfully', 're-executing')",36
"('successfully', 're-executing', 'job')",36
"('job', 'triggering', 'brj')",36
"('due', 'database', 'login')",35
"('completed', 'job', 'running')",35
"('job', 'rerun', 'completed')",34
"('unavailability', 'job', 'started')",34
"('job', 'started', 'file')",34
"('started', 'file', 'placed')",34
"('failure', 'issue', 'fixed')",34
"('pipe', 'error', 'job')",33
"('failed', 'due', 'login')",33
"('abended', 'source', 'file')",33
"('login', 'time', 'job')",32
"('receiving', 'updated', 'file')",32
"('file', 'placed', 'path')",32
"('state', 'failure', 'issue')",32
"('completed', 'successfully', 'receiving')",31
"('null', 'value', 'issue')",31
"('value', 'issue', 'issue')",31
"('login', 'timeout', 'issue')",31
"('day', ""'s"", 'run')",31
"('brj', 'issue', 'issue')",31
"('successfully', 'receiving', 'updated')",30
"('lock', 'occurred', 'completed')",30
"('successful', 'data', 'fix')",30
"('issue', 'job', 'got')",30
"('due', 'source', 'file')",30
"('job', 'back', 'end')",29
"('due', 'login', 'time')",28
"('job', 'reprocessed', 'data')",28
"('reprocessed', 'data', 'fix')",28
"('failed', 'due', 'crm')",27
"('due', 'crm', 'source')",27
"('due', 'tods', 'issue')",27
"('tods', 'issue', 're-run')",27
"('manually', 'executed', 'job')",27
"('tods', 'server', 'issue')",27
"('occurred', 'completed', 'job')",26
"('failed', 'due', 'count')",26
"('time', 'issue', 'rerun')",26
"('re-run', 'completed', 'successfully')",26
"('executed', 'job', 'back')",26
"('self-lock', 'job', 'completed')",25
"('job', 're-executed', 'compelted')",25
"('re-executed', 'compelted', 'sucecssfully')",25
"('job', 'completed', 're-run')",25
"('rerun', 'successful', 'data')",25
"('time', 'issue', 'issue')",25
"('brj', 'issue', 'rerun')",25
"('liaising', 'dev', 'team')",25
"('brj', 'manually', 'executed')",25
"('queue', 'file', 'issue')",25
"('outage', 'job', 're-started')",24
"('job', 're-started', 'outage')",24
"('re-started', 'outage', 'compelted')",24
"('due', 'td', 'upgrade')",24
"('job', 'abended', 'stream')",24
"('lock', 'issue', 're-running')",24
"('triggering', 'brj', 'manually')",24
"('queue', 'file', 'stuck')",24
"('restarted', 'job', 'got')",23
"('data', 'format', 'issue')",23
"('hence', 'jobs', 'failed')",23
"('jobs', 'failed', 'jobs')",23
"('failed', 'jobs', 're-run')",23
"('database', 'login', 'time')",22
"('connection', 'time', 'job')",22
"('time', 'job', 'restarted')",22
"('job', 'completed', 'rerun')",22
"('due', 'data', 'issues')",22
"('format', 'issue', 'fixed')",22
"('cancelled', 'batch', 'day')",22
"('abended', 'stream', 'instance')",22
"(""n't"", 'get', 'triggered')",22
"('get', 'triggered', 'backend')",22
"('triggered', 'backend', 'console')",22
"('server', 'issue', 'job')",22
"('due', 'queue', 'file')",22
"('source', 'file', 'source')",21
"('source', 'files', 'available')",21
"('job', 'completed', 'manually')",21
"('completed', 'manually', 'running')",21
"('manually', 'running', 'query')",21
"('job', 'abended', 'oraacle')",21
"('abended', 'oraacle', 'source')",21
"('oraacle', 'source', 'database')",21
"('source', 'database', 'job')",21
"('database', 'job', 'restarted')",21
"('job', 'restarted', 'oracle')",21
"('restarted', 'oracle', 'server')",21
"('oracle', 'server', 'restarted')",21
"('job', 'got', 'trigerred')",21
"('abended', 'due', 'count')",21
"('due', 'login', 'timeout')",21
"('job', 'got', 'executed')",21
"('got', 'executed', 'successfully')",21
"('batch', 'day', ""'s"")",21
"('source', 'file', 'job')",21
"('brj', 'issue', 'jobs')",21
"('issue', 'jobs', ""n't"")",21
"('jobs', ""n't"", 'get')",21
"('job', ""n't"", 'trigger')",21
"(""n't"", 'trigger', 'brj')",21
"('trigger', 'brj', 'failed')",21
"('brj', 'failed', 'due')",21
"('due', 'brj', 'issue.we')",21
"('brj', 'issue.we', 're-executed')",21
"('issue.we', 're-executed', 'job')",21
"('issue.on', 're-run', 'job')",21
"('error', 'job', 're-started')",20
"('abended', 'source', 'files')",20
"('available', 'source', 'path')",20
"('team', 'place', 'file')",20
"('place', 'file', 'restarted')",20
"('file', 'restarted', 'job')",20
"('later', 'provided', 'td')",20
"('provided', 'td', 'team')",20
"('td', 'team', 'job')",20
"('team', 'job', 'rerun')",20
"('job', 'marked', 'completed')",20
"('data', 'issues', 'i.e')",20
"('issues', 'i.e', 'duplicates/null')",20
"('i.e', 'duplicates/null', 'values/invalid')",20
"('duplicates/null', 'values/invalid', 'data')",20
"('values/invalid', 'data', 'format')",20
"('failed', 'due', 'log-in')",20
"('due', 'log-in', 'time')",20
"('log-in', 'time', 're-executed')",20
"('time', 're-executed', 'completed')",20
"('unavailability', 'job', 'completed')",20
"('source', 'file', 'received')",20
"('backend', 'console', 're-running')",20
"('console', 're-running', 'job')",20
"('kept', 'hold', 'due')",20
"('issue', 'fixe', 'job')",20
"('fixe', 'job', 're-started')",20
"('files', 'available', 'source')",19
"('source', 'path', 'requested')",19
"('path', 'requested', 'source')",19
"('hence', 'job', 'aborted')",19
"('issue', 'source', 'file')",19
"('failed', 'due', 'named')",19
"('issue', 'issue', 'fixe')",19
"('named', 'pipe', 'error')",18
"('completed', 'successfully', 're-running')",18
"('batch', 'issues', 'jobs')",18
"('issues', 'jobs', 're-run')",18
"('outage', 'job', 'started')",18
"('job', 'started', 'outage')",18
"('brj', 'hence', 'jobs')",18
"('duplicate', 'issue', 'source')",18
"('jobs', 'completed', 'tods')",18
"('completed', 'tods', 'console')",18
"('tods', 'console', 'failed')",18
"('run', 'along', 'today')",18
"('along', 'today', ""'s"")",18
"('file', 'unavailability', 'schedule')",18
"('unavailability', 'schedule', 'cancelled')",18
"('schedule', 'cancelled', 'day')",18
"('time', 'job', 'rerun')",18
"('hold', 'due', 'file')",18
"('failed', 'due', 'row')",17
"('due', 'row', 'count')",17
"('later', 'provided', 'dba')",17
"('provided', 'dba', 'jobs')",17
"('dba', 'jobs', 'rerun')",17
"('jobs', 'rerun', 'completed')",17
"('load', 'td', 'box')",17
"('duplicate', 'issue', 'job')",17
"('abended', 'due', 'tods')",17
"('completed', 'successfully', 'file')",17
"('today', ""'s"", 'batch')",17
"('row', 'count', 'mismatch')",16
"('count', 'mismatch', 'source')",16
"('mismatch', 'source', 'file')",16
"('source', 'file', 'ods')",16
"('file', 'ods', 'table')",16
"('ods', 'table', 'requested')",16
"('table', 'requested', 'source')",16
"('team', 'place', 'source')",16
"('place', 'source', 'files')",16
"('source', 'files', 'job')",16
"('files', 'job', 'completed')",16
"('job', 'completed', 'placing')",16
"('completed', 'placing', 'source')",16
"('placing', 'source', 'file')",16
"('file', 'source', 'path')",16
"('ran', 'successfully', 'rerun')",16
"('unavailability', 'job', 'cancelled')",16
"('completed', 'successfully', 'running')",16
"('successfully', 'running', 'query')",16
"('liasing', 'source', 'team')",16
"('connection', 'time', 'issue')",16
"('spool', 'space', 'issue')",16
"('liaising', 'source', 'team')",16
"('jobs', 'kept', 'hold')",16
"('got', 'failed', 'files')",16
"('failed', 'files', 'received')",16
"('job', 'killed', 'manually')",15
"('next', 'day', ""'s"")",15
"('got', 'trigerred', 'wrongly')",15
"('trigerred', 'wrongly', 'hence')",15
"('wrongly', 'hence', 'job')",15
"('job', 'aborted', 'cancelled')",15
"('error', 'job', 'restarted')",15
"('timeout', 'issue', 'issue')",15
"('job', 'successful', 're-run')",15
"('due', 'named', 'piped')",15
"('named', 'piped', 'error')",15
"('completed', 'issue', 'resolved')",15
"('tdata', 'tbload', 'issue')",15
"('re-run', 'successfully', 'tbload')",15
"('successfully', 'tbload', 'release')",15
"('files', 'received', 'manually')",15
"('due', 'source', 'unavailability')",14
"('source', 'unavailability', 'job')",14
"('issues', 'issue', 'fixed')",14
"('login', 'timed', 'error')",14
"('failure', 'job', 'restarted')",14
"('abended', 'due', 'login')",14
"('crm', 'source', 'connecitivity')",14
"('source', 'connecitivity', 'issue')",14
"('connecitivity', 'issue', 'issue')",14
"('file', 'received', 'cancelled')",14
"('received', 'cancelled', 'batch')",14
"('source', 'connectivity', 'issue')",14
"('file', 'job', 're-run')",14
"('successfully', 'file', 'corrected')",14
"('got', 'failed', 'manaully')",14
"('failed', 'manaully', 'clear')",14
"('manaully', 'clear', 'queue')",14
"('received', 'manually', 'run')",14
"('manually', 'run', 'job')",14
"('time', 'issue', 'load')",13
"('issue', 'load', 'td')",13
"('td', 'box', 'reexecuted')",13
"('box', 'reexecuted', 'job')",13
"('reexecuted', 'job', 'load')",13
"('job', 'load', 'reduced')",13
"('load', 'reduced', 'job')",13
"('reduced', 'job', 'got')",13
"('schedule', 'triggered', 'wrongly')",13
"('triggered', 'wrongly', 'job')",13
"('wrongly', 'job', 'killed')",13
"('due', 'duplicate', '.we')",13
"('duplicate', '.we', 're-executed')",13
"('time', 'job', 're-started')",13
"('failed', 'due', 'tbload.it')",13
"('due', 'tbload.it', 'completed')",13
"('jobs', 'failed', 'due')",13
"('re-run', 'file', 'avaialble')",13
"('timed', 'error', 'completed')",13
"('error', 'completed', 're-run')",13
"('failed', 'due', 'td')",13
"('successfully', 'issue', 'resolved')",13
"('completed', 'succesfully', 're-run')",13
"('re-executed', 'job', 'deleting')",13
"('job', 'deleting', 'invalid')",13
"('deleting', 'invalid', 'records')",13
"('pipe', 'error', 'issue')",13
"('issue', 'rerun', 'success')",13
"('issue', 'resolved', 'job')",13
"('issue', 'due', 'td')",13
"('td', 'upgrade', 'successful')",13
"('upgrade', 'successful', 'rerun')",13
"('log', 'time', 'error')",13
"('time', 'error', 'bee')",13
"('error', 'bee', 're-executed')",13
"('bee', 're-executed', 'completed')",13
"('failed', 'due', 'server')",13
"('database', 'login', 'timeout')",13
"('batch', 'cancelled', 'day')",13
"('stream', 'instance', 'still')",13
"('instance', 'still', 'active')",13
"('failed', 'due', 'database')",13
"('td', 'upgrade', 'job')",13
"('upgrade', 'job', 'rerun')",13
"('job', 'rerun', 'fix')",13
"('rerun', 'fix', 'td')",13
"('fix', 'td', 'team')",13
"('td', 'team', 'completed')",13
"('team', 'completed', 'successfully')",13
"('file', 'issue', 'liasing')",13
"('brj', 'issue.on', 're-run')",13
"('crm', 'source', 'connectivity')",13
"('successful', 'manual', 'run')",13
"('pipe', 'error', 'lock')",12
"('error', 'lock', 'released')",12
"('lock', 'released', 'job')",12
"('tbload.it', 'completed', 'successfulll')",12
"('completed', 'successfulll', 'releasing')",12
"('successfulll', 'releasing', 'tbload')",12
"('due', 'null', 'values')",12
"('abended', 'due', 'tbload')",12
"('job', 'completed', 'succesfully')",12
"('job', 'abended', 'pipe')",12
"('completed', 'successfully', 'rerun')",12
"('spool', 'space', 'db')",12
"('space', 'db', 'completed')",12
"('db', 'completed', 're-run')",12
"('abended', 'due', 'source')",12
"('due', 'source', 'database')",12
"('wnash', 'access', 'issue')",12
"('access', 'issue', 'rerun')",12
"('confirmed', 'job', 'success')",12
"('extraction', 'issue', 'job')",12
"('console', 'failed', 'brj')",12
"('timeout', 'issue', 'fixed')",12
"('due', 'tods', 'scheduler')",12
"('tods', 'scheduler', 'connectivity')",12
"('scheduler', 'connectivity', 'issue')",12
"('issue', 'liasing', 'source')",12
"('manually', 'transfer', 'files')",12
"('job', 're-started', 'issue')",11
"('re-started', 'issue', 'fixed')",11
"('failed', 'due', 'hadoop')",11
"('due', 'hadoop', 'database')",11
"('hadoop', 'database', 'issue')",11
"('upgrade', 'happened', 'fix')",11
"('happened', 'fix', 'later')",11
"('fix', 'later', 'provide')",11
"('later', 'provide', 'dba')",11
"('provide', 'dba', 'job')",11
"('dba', 'job', 'rerun')",11
"('running', 'long', 'time')",11
"('batch', 'entry', 'updated')",11
"('entry', 'updated', 'entry')",11
"('updated', 'entry', 'r')",11
"('entry', 'r', 'status')",11
"('r', 'status', 'f')",11
"('status', 'f', 'job')",11
"('f', 'job', 'completed')",11
"('td', 'upgrade', 'issue.it')",11
"('upgrade', 'issue.it', 'completed')",11
"('issue.it', 'completed', 'successfully')",11
"('completed', 'successfully', 'issue')",11
"('issue', 'issue', 'resolved')",11
"('job', 'failed', 'update')",11
"('error', 're-run', 'job')",11
"('wrongly', 'triggered', 'brj')",11
"('rerun', 'job', 'executed')",11
"('due', 'file', 'unavailability.this')",11
"('file', 'unavailability.this', 'resolved')",11
"('unavailability.this', 'resolved', 'file')",11
"('resolved', 'file', 'recieved')",11
"('file', 'recieved', 're-execution')",11
"('failed', 'due', 'duplicates')",11
"('stream', 'instance', 'active')",11
"('brj', 'issue', 'resolved')",11
"('job', 'rerun', 'issue')",11
"('rerun', 'issue', 'solved')",11
"('abended', 'due', 'invalid')",11
"('ftp', 'issue', 'manually')",11
"('issue', 'manually', 'transfer')",11
"('transfer', 'files', 'successfully')",11
"('queue', 'run', 'job')",11
"('manually', 'job', 'restarted')",10
"('job', 'completed', 'file')",10
"('batch', 'completed', 'successfully')",10
"('job', 'got', 'falied')",10
"('got', 'falied', 'due')",10
"('job', 'completed', 'successful')",10
"('completed', 'successful', 're-run')",10
"('failed', 'update', 'status')",10
"('update', 'status', 'query.we')",10
"('status', 'query.we', 'manually')",10
"('query.we', 'manually', 'changed')",10
"('manually', 'changed', 'status')",10
"('changed', 'status', 'job')",10
"('status', 'job', 'completed')",10
"('time-out', 'error', 're-run')",10
"('re-started', 'completed', 'succcessfully')",10
"('self-lock', 'issue', 'job')",10
"('time', 'issue', 'job')",10
"('job', 'restarted', 'time')",10
"('re-ran', 'completed', 'successfully')",10
"('due', 'spool', 'space')",10
"('job', 'failed', 'source')",10
"('failed', 'brj', '.this')",10
"('brj', '.this', 'due')",10
"('.this', 'due', 'brj')",10
"('job', 'completed', 'issue')",10
"('due', 'brj', 'issue.didnt')",10
"('brj', 'issue.didnt', 'ran')",10
"('issue.didnt', 'ran', 'console')",10
"('ran', 'console', 'failed')",10
"('console', 'failed', 'brj.re-executed')",10
"('failed', 'brj.re-executed', 'job')",10
"('brj.re-executed', 'job', 'completed')",10
"('job', 'run', 'along')",10
"('failed', 'updating', 'audit')",10
"('file', 'source', 'team')",10
"('abended', 'due', 'null')",10
"('duplicates', 'source', 'file')",10
"('due', 'server', 'restart')",10
"('clear', 'queue', 'ans')",10
"('queue', 'ans', 'run')",10
"('successful', 're-', 'run')",9
"('due', 'tdata', 'connecitivity')",9
"('tdata', 'connecitivity', 'issuee')",9
"('connecitivity', 'issuee', 'job')",9
"('issuee', 'job', 're-started')",9
"('contacted', 'source', 'team')",9
"('error', 'issue', 'job')",9
"('issue', 'job', 'cancelled')",9
"('fixed', 'job', 'fixed')",9
"('job', 'fixed', 'job')",9
"('table', 'locked', 'released')",9
"('executed', 'successfully', 'rerun')",9
"('source', 'file', 'arrived')",9
"('stream', 'closed', 'manually')",9
"('job', 'failed', 'updating')",9
"('space', 'issue', 'issue')",9
"('job', 're-ran', 'completed')",9
"('self', 'lock', 'occured')",9
"('job', 'executed', 'backend')",9
"('issue', 'successful', 'rerun')",9
"('connectivity', 'issue', 're-running')",9
"('job', 'disabled', 'wrongly')",9
"('disabled', 'wrongly', 'triggered')",9
"('issue', 'job', 'compelted')",9
"('job', 'compelted', 're-run')",9
"('restarted', 'time', 'completed')",9
"('time', 'completed', 'successfully')",9
"('audit', 'entry', 'manually')",9
"('completed', 'batch', 'running')",9
"('batch', 'running', 'script')",9
"('source', 'file', 'unavailaibilty')",9
"('file', 'unavailaibilty', 'liaising')",9
"('unavailaibilty', 'liaising', 'source')",9
"('due', 'data', 'base')",9
"('abended', 'due', 'tns')",9
"('due', 'tns', 'listener')",9
"('tns', 'listener', 'failure')",9
"('listener', 'failure', 'job')",9
"('job', 'restarted', 'issue')",9
"('restarted', 'issue', 'fixed')",9
"('issue', 'fixed', 'completed')",9
"('fixed', 'completed', 'successfully')",9
"('server', 'restart', 'job')",9
"('restart', 'job', 'reprocessed')",9
"('ans', 'run', 'job')",9
"('got', 'failed', 'manually')",9
"('received', 'deadline', 'alert')",8
"('source', 'file', 'unavailable')",8
"('file', 'unavailable', 'job')",8
"('unavailable', 'job', 'completed')",8
"('null', 'values', 'null')",8
"('values', 'null', 'field.we')",8
"('null', 'field.we', 're-executed')",8
"('field.we', 're-executed', 'job')",8
"('invalid', 'records', 'completed')",8
"('records', 'completed', 'successfully')",8
"('invalid', 'data', 'format')",8
"('executed', 'successfully', 'run')",8
"('file', 'completed', 're-run')",8
"('still', 'active', 'stream')",8
"('running', 'longer', 'time')",8
"('issue', 're-executed', 'job')",8
"('due', 'database', 'issue')",8
"('source', 'team', 'job')",8
"('overrunning', 'hence', 'deadline')",8
"('hence', 'deadline', 'reached')",8
"('piped', 'error', 'released')",8
"('error', 'released', 'tbload')",8
"('completed', 'successfully', 'back')",8
"('job', 'run', 'data')",8
"('run', 'data', 'fix')",8
"('connectivity', 'issue', 'bw')",8
"('issue', 'bw', 'rerun')",8
"('bw', 'rerun', 'job')",8
"('liasing', 'dev', 'team')",8
"('due', 'tods', 'session')",8
"('tods', 'session', 'issue')",8
"('console', 'failed', 'brj.this')",8
"('failed', 'brj.this', 'due')",8
"('brj.this', 'due', 'brj')",8
"('updating', 'audit', 'entry')",8
"('entry', 'manually', 'updated')",8
"('manually', 'updated', 'using')",8
"('updated', 'using', 'tdata')",8
"('rerun', 'successfull', 'datafix')",8
"('job', 'wrongly', 'triggered')",8
"('due', 'brj', 'connectivity')",8
"('brj', 'connectivity', 'issue')",8
"('issue', 'job', 'run')",8
"('lock', 'issue', 're-run')",8
"('re-run', 'job', 'successful')",8
"('due', 'issue', 'source')",8
"('job', 'put', 'hold')",8
"('file', 'issue', 'issue')",8
"('space', 'issue', 'job')",8
"('manually', 'cleared', 'queue')",8
"('cleared', 'queue', 'run')",8
"('hence', 'received', 'deadline')",7
"('available', 'job', 'completed')",7
"('rerun', 'job', 'successful')",7
"('format', 'issue', 'issue')",7
"('abended', 'due', 'duplicate/null/invalid')",7
"('due', 'duplicate/null/invalid', 'data')",7
"('duplicate/null/invalid', 'data', 'format')",7
"('failed', 'due', 'incorrect')",7
"('job', 'confirmed', 'backend')",7
"('issue', 'job', 'started')",7
"('job', 'started', 'completed')",7
"('started', 'completed', 'successfully')",7
"('file', 'available', 'contacted')",7
"('available', 'contacted', 'source')",7
"('job', 'restarted', 'got')",7
"('restarted', 'got', 'completed')",7
"('time-out', 'issue', 'job')",7
"('completed', 'successfully', 'releasing')",7
"('successfully', 'releasing', 'tbload')",7
"('fixed', 'job', 'reexecuted')",7
"('file', 'placed', 'source')",7
"('placed', 'source', 'path')",7
"('error', 'due', 'login')",7
"('source', 'file', 'completed')",7
"('outage', 'issue', 'fixed')",7
"('resolved', 'job', 're-started')",7
"('job', 'marked', 'success')",7
"('failed', 'due', 'spool')",7
"('environment', 'issue', 'job')",7
"('got', 'successful', 're-run')",7
"('previous', 'jobs', 'overrunning')",7
"('jobs', 'overrunning', 'hence')",7
"('due', 'invalid', 'date')",7
"('tods', 'issue', 'job')",7
"('active', 'process', 'state')",7
"('source', 'database', 'issue')",7
"('database', 'issue', 're-executed')",7
"('re-executed', 'job', '1')",7
"('job', '1', 'hr')",7
"('1', 'hr', 'completed')",7
"('hr', 'completed', 'successfully')",7
"('due', 'tods', 'server')",7
"('tods', 'server', 'session')",7
"('job', 'rerun', 'restart')",7
"('rerun', 'restart', 'server')",7
"('abended', 'due', 'connection')",7
"('cancelled', 'day', ""'s"")",7
"('failed', 'due', 'issue')",7
"('issue', 'source', 'bw')",7
"('source', 'bw', 'end')",7
"('bw', 'end', 're-running')",7
"('end', 're-running', 'job')",7
"('team', 'job', 'completed')",7
"('data', 'base', 'login')",7
"('base', 'login', 'timeout')",7
"('issue', 'job', 'put')",7
"('issue', 'job', 'progressing')",7
"('job', 'progressing', 'back')",7
"('progressing', 'back', 'end')",7
"('issue', 'liaising', 'dev')",7
"('file', 'available', 'hence')",7
"('available', 'hence', 'confirmed')",7
"('hence', 'confirmed', 'job')",7
"('unavailability', 'job', 're-ran')",7
"('completed', 'successfully', 'fix')",7
"('successfully', 'fix', 'done')",7
"('fix', 'done', 'hadoop')",7
"('done', 'hadoop', 'team')",7
"('fixed', 'job', 're-processed')",7
"('source', 'file', 'delay.success')",7
"('file', 'delay.success', 'rerun')",7
"('unavailability', 'job', 'got')",7
"('due', 'lock', 'held')",7
"('lock', 'held', 'process')",7
"('held', 'process', 'job')",7
"('process', 'job', 'got')",7
"('failed', 'manually', 'killed')",7
"('manually', 'killed', 'process')",7
"('killed', 'process', 'run')",7
"('process', 'run', 'job')",7
"('abended', 'due', 'connectivity')",6
"('time', 'issue', 're-running')",6
"('killed', 'completed', 'successfully')",6
"('day', ""'s"", 'load')",6
"('job', 'got', 'killed')",6
"('falied', 'due', 'connectivity')",6
"('re-running', 'job', 'completed')",6
"('fixed', 'job', 'wass')",6
"('job', 'wass', 're-started')",6
"('re-running', 'job', 'successful')",6
"('completed', 'successfully', 'source')",6
"('moved', 'row', 'count')",6
"('row', 'count', 'file')",6
"('reexecuted', 'completed', 'successfully')",6
"('failed', 'due', 'connectivty')",6
"('due', 'connectivty', 'issue')",6
"('connectivty', 'issue', 'issue')",6
"('issue', 'removed', 'duplicates')",6
"('job', 'completed', 'back')",6
"('completed', 'back', 'end')",6
