N-gram,Frequency
"('job', 'got', 'failed')",1028
"('got', 'failed', 'due')",981
"('job', 'completed', 'successfully')",881
"('issue', 'fixed', 'job')",855
"('issue', 'issue', 'fixed')",645
"('job', 'restarted', 'completed')",399
"('running', 'query', 'manually')",392
"('restarted', 'completed', 'successfully')",384
"('completed', 'running', 'query')",380
"('fixed', 'job', 'restarted')",363
"('job', 'failed', 'due')",356
"('job', 'abended', 'due')",355
"('re-run', 'job', 'completed')",351
"('fixed', 'job', 're-started')",350
"('job', 'killed', 'completed')",322
"('killed', 'completed', 'running')",316
"('source', 'file', 'available')",229
"('job', 'executed', 'successfully')",213
"('self-lock', 'occurred', 'job')",207
"('occurred', 'job', 'killed')",201
"('failed', 'due', 'duplicate')",200
"('due', 'connectivity', 'issue')",200
"('duplicate', 'issue', 'issue')",192
"('failed', 'due', 'connectivity')",188
"('connectivity', 'issue', 'job')",187
"('failed', 'due', 'file')",174
"('due', 'file', 'unavailability')",173
"('successfully', 'back', 'end')",170
"('got', 'completed', 'successfully')",169
"('due', 'duplicate', 'issue')",168
"('job', 'got', 'completed')",163
"('file', 'available', 'job')",163
"('issue', 'job', 're-run')",163
"('self-lock', 'occured', 'job')",162
"('executed', 'successfully', 'back')",160
"('available', 'job', 're-run')",150
"('data', 'issue', 'issue')",145
"('source', 'file', 'issue')",139
"('occured', 'job', 'killed')",121
"('abended', 'due', 'duplicate')",117
"('rerun', 'job', 'completed')",115
"('re-executed', 'completed', 'successfully')",114
"('issue', 'job', 're-started')",113
"('job', 'got', 'abended')",111
"('job', 're-started', 'completed')",109
"('failed', 'due', 'tdata')",109
"('job', 're-run', 'successfully')",107
"('file', 'issue', 'job')",100
"('failed', 'due', 'data')",98
"('re-executed', 'job', 'completed')",97
"('job', 're-run', 'completed')",93
"('job', 're-run', 'issue')",91
"('job', 're-executed', 'completed')",89
"('failed', 'due', 'log')",89
"('due', 'log', 'time')",89
"('issue', 'job', 'completed')",88
"('failed', 'due', 'brj')",88
"('re-run', 'issue', 'resolved')",86
"('completed', 'successfully', 're-run')",85
"('completed', 'file', 'available')",85
"('re-running', 'job', 'got')",84
"('due', 'brj', 'issue')",82
"('duplicate', 'data', 'issue')",81
"('due', 'duplicate', 'data')",80
"('due', 'database', 'connection')",79
"('re-run', 'completed', 'file')",79
"('job', 're-run', 'file')",78
"('database', 'connection', 'time')",78
"('connectivity', 'issue', 'issue')",76
"('released', 'job', 're-run')",76
"('source', 'issue', 'job')",76
"('log', 'time', 'error.we')",74
"('time', 'error.we', 're-executed')",74
"('error.we', 're-executed', 'job')",74
"('fixed', 'job', 're-executed')",74
"('pipe', 'error', 'due')",73
"('file', 'unavailability', 'job')",72
"('due', 'data', 'issue')",70
"('tbload', 'released', 'job')",70
"('file', 'unavailability', 'issue')",68
"('error', 'tbload', 'released')",68
"('abended', 'pipe', 'error')",67
"('job', 'completed', 'running')",66
"('error', 'due', 'database')",66
"('named-pipe', 'error', 'tbload')",66
